Trial	C1	C2	Vowel	F0	Answer	Answer_vowel	Heard_Consonant	Heard_correct_vowel	Time_elapsed	Ear	Audiogram_Left	Audiogram_Right
1	l	th	AE	low_f0	lath	AE	1	1	2.5657	B	NA	NA
2	g	t	AE	high_f0	gat	AE	1	1	0.7697	B	NA	NA
3	d	d	IH	low_f0	did	IH	1	1	0.5132	B	NA	NA
4	d	f	AE	high_f0	daff	AE	1	1	2.3524	B	NA	NA
5	g	t	IH	low_f0	git	IH	1	1	1.1022	B	NA	NA
6	l	th	EH	low_f0	leth	EH	1	1	0.6593	B	NA	NA
7	g	t	IH	high_f0	git	IH	1	1	0.6260	B	NA	NA
8	d	jh	IH	low_f0	didge	IH	1	1	0.7206	B	NA	NA
9	d	f	IH	high_f0	diff	IH	1	1	0.6279	B	NA	NA
10	l	jh	EH	low_f0	ledge	EH	1	1	0.5648	B	NA	NA
11	d	sh	IH	low_f0	dish	IH	1	1	0.5515	B	NA	NA
12	d	sh	IH	high_f0	dish	IH	1	1	0.9400	B	NA	NA
13	d	jh	EH	high_f0	dedge	EH	1	1	1.0741	B	NA	NA
14	g	t	EH	high_f0	get	EH	1	1	0.5750	B	NA	NA
15	g	th	AE	low_f0	gath	AE	1	1	0.7184	B	NA	NA
16	g	g	EH	high_f0	geg	EH	1	1	0.6220	B	NA	NA
17	d	jh	EH	low_f0	dedge	EH	1	1	0.6919	B	NA	NA
18	l	th	EH	high_f0	leth	EH	1	1	1.0320	B	NA	NA
19	d	jh	AE	low_f0	dadge	AE	1	1	0.5485	B	NA	NA
20	l	p	EH	high_f0	lep	EH	1	1	0.4520	B	NA	NA
21	l	jh	IH	low_f0	lidge	IH	1	1	0.5039	B	NA	NA
22	d	f	EH	low_f0	deaf	EH	1	1	0.8855	B	NA	NA
23	l	jh	AE	high_f0	ladge	AE	1	1	0.5105	B	NA	NA
24	l	d	AE	high_f0	lad	AE	1	1	0.5319	B	NA	NA
25	l	jh	IH	high_f0	lidge	IH	1	1	0.9729	B	NA	NA
26	d	sh	EH	high_f0	desh	EH	1	1	0.6477	B	NA	NA
27	g	g	EH	low_f0	geg	EH	1	1	0.6523	B	NA	NA
28	l	th	AE	high_f0	lath	AE	1	1	0.5297	B	NA	NA
29	d	d	AE	high_f0	dad	AE	1	1	2.1119	B	NA	NA
30	d	f	AE	low_f0	deaf	EH	1	0	0.9112	B	NA	NA
31	l	d	IH	high_f0	lid	IH	1	1	4.8720	B	NA	NA
32	g	th	IH	high_f0	gith	IH	1	1	1.2172	B	NA	NA
33	d	sh	AE	low_f0	dash	AE	1	1	0.8273	B	NA	NA
34	g	th	IH	low_f0	gith	IH	1	1	0.9111	B	NA	NA
35	g	t	EH	low_f0	get	EH	1	1	0.6893	B	NA	NA
36	l	d	EH	low_f0	led	EH	1	1	0.6307	B	NA	NA
37	d	d	IH	high_f0	did	IH	1	1	0.5354	B	NA	NA
38	g	th	EH	low_f0	geth	EH	1	1	0.9250	B	NA	NA
39	g	th	AE	high_f0	gath	AE	1	1	0.5745	B	NA	NA
40	l	jh	AE	low_f0	ladge	AE	1	1	0.5119	B	NA	NA
41	l	p	AE	high_f0	lap	AE	1	1	0.4817	B	NA	NA
42	l	d	AE	low_f0	lad	AE	1	1	0.4791	B	NA	NA
43	d	jh	AE	high_f0	dadge	AE	1	1	0.6902	B	NA	NA
44	g	th	EH	high_f0	geth	EH	1	1	0.5120	B	NA	NA
45	d	jh	IH	high_f0	didge	IH	1	1	0.5407	B	NA	NA
46	l	th	IH	high_f0	lith	IH	1	1	0.4997	B	NA	NA
47	d	f	IH	low_f0	diff	IH	1	1	0.5524	B	NA	NA
48	d	d	AE	low_f0	dad	AE	1	1	2.2135	B	NA	NA
49	l	th	IH	low_f0	lith	IH	1	1	0.5966	B	NA	NA
50	l	d	EH	high_f0	led	EH	1	1	0.4979	B	NA	NA
51	d	d	EH	high_f0	dead	EH	1	1	0.6834	B	NA	NA
52	g	t	AE	low_f0	gat	AE	1	1	0.6828	B	NA	NA
53	l	p	EH	low_f0	lep	EH	1	1	1.1539	B	NA	NA
54	l	jh	EH	high_f0	ledge	EH	1	1	0.5110	B	NA	NA
55	d	sh	AE	high_f0	dash	AE	1	1	1.0845	B	NA	NA
56	d	sh	EH	low_f0	desh	EH	1	1	0.5182	B	NA	NA
57	g	g	AE	low_f0	gag	AE	1	1	1.6758	B	NA	NA
58	d	d	EH	low_f0	dead	EH	1	1	0.9432	B	NA	NA
59	l	d	IH	low_f0	lid	IH	1	1	0.7091	B	NA	NA
60	g	g	IH	high_f0	gig	IH	1	1	2.0925	B	NA	NA
61	g	g	IH	low_f0	gig	IH	1	1	0.8376	B	NA	NA
62	d	f	EH	high_f0	deaf	EH	1	1	1.0106	B	NA	NA
63	l	p	AE	low_f0	lap	AE	1	1	1.0531	B	NA	NA
64	l	p	IH	high_f0	lip	IH	1	1	0.4943	B	NA	NA
65	g	g	AE	high_f0	gag	AE	1	1	0.7247	B	NA	NA
66	l	p	IH	low_f0	lip	IH	1	1	0.6285	B	NA	NA
