Date: 7.24.2025
Time: 12:11:60
Subject ID: NH292
Frequency (Hz): 2300
Ear: L
Dur (sec): 300 sec
Modulation rate (Hz): 20
Input Max rove (dB): 10
Contralateral modulation depth: -100
---------------------------------

***** Stimulus and response details *****

Index	 Level	 Intvl	 Resp	 Correct
1	0	1	1	1
2	0	3	2	0
Warning!  Subject at maximum modulation depth, having difficulty with task
3	0	3	3	1
4	0	2	2	1
5	-2	1	1	1
6	-2	1	1	1
7	-3	1	1	1
8	-3	3	2	0
9	-2	1	1	1
10	-2	1	1	1
11	-3	1	1	1
12	-3	2	2	1
13	-3.500000e+00	2	2	1
14	-3.500000e+00	2	2	1
15	-4	3	3	1
16	-4	2	2	1
17	-4.500000e+00	1	1	1
18	-4.500000e+00	1	2	0
19	-4	3	2	0
20	-3.500000e+00	3	3	1
21	-3.500000e+00	2	2	1
22	-4	3	3	1
23	-4	1	1	1
24	-4.500000e+00	1	1	1
25	-4.500000e+00	3	3	1
26	-5	2	2	1
27	-5	1	1	1
28	-5.500000e+00	2	2	1
29	-5.500000e+00	3	3	1
30	-6	1	3	0
31	-5.500000e+00	3	2	0
32	-5	3	3	1
33	-5	2	2	1
34	-5.500000e+00	3	3	1
35	-5.500000e+00	2	2	1
36	-6	2	2	1
37	-6	1	1	1
38	-6.500000e+00	3	3	1
39	-6.500000e+00	3	3	1
40	-7	1	1	1
41	-7	1	3	0
42	-6.500000e+00	2	2	1
43	-6.500000e+00	3	3	1
44	-7	2	1	0
45	-6.500000e+00	2	2	1
46	-6.500000e+00	2	2	1
47	-7	3	3	1
48	-7	1	2	0
Threshold is  -5.75 dB  and SD is  1.28 dB
