Ear: B
Audiogram left  : NA
Audiogram right : NA
Trial	C1	C2	Vowel1	Vowel2	F0_1	F0_2	Ans1V	Ans2V	Ans3V	Ans1C	Ans2C	Ans3C	Ans1	Ans2	Ans3	OneType	BothOK	RT	Ear	Audiogram_Left	Audiogram_Right
1	G	G	AE	IH	low_f0	high_f0	IH	AE	NaN	1	1	0	gig	gag	NaN	0	1	4.8844	B	NA	NA
2	G	G	IH	AE	low_f0	low_f0	IH	AE	NaN	1	1	0	gig	gag	NaN	0	1	1.5575	B	NA	NA
3	D	D	IH	AE	high_f0	high_f0	IH	AE	NaN	1	1	0	did	dad	NaN	0	1	1.2609	B	NA	NA
4	D	D	AE	IH	low_f0	high_f0	IH	AE	NaN	1	1	0	did	dad	NaN	0	1	2.2519	B	NA	NA
5	D	JH	AE	IH	high_f0	high_f0	IH	AE	NaN	1	1	0	didge	dadge	NaN	0	1	4.8497	B	NA	NA
6	G	G	AE	IH	low_f0	low_f0	IH	AE	NaN	1	1	0	gig	gag	NaN	0	1	2.3353	B	NA	NA
7	D	D	IH	AE	low_f0	low_f0	IH	AE	NaN	1	1	0	did	dad	NaN	0	1	1.8901	B	NA	NA
8	D	D	AE	IH	high_f0	high_f0	IH	AE	NaN	1	1	0	did	dad	NaN	0	1	1.2938	B	NA	NA
9	G	G	IH	IH	low_f0	high_f0	IH	IH	NaN	1	0	0	gig	IH	NaN	1	1	6.6367	B	NA	NA
10	L	D	IH	AE	low_f0	low_f0	IH	AE	NaN	1	0	0	lid	AE	NaN	0	1	1.4672	B	NA	NA
11	G	T	AE	IH	low_f0	high_f0	IH	AE	NaN	1	0	0	git	AE	NaN	0	1	0.9352	B	NA	NA
12	D	F	EH	EH	high_f0	high_f0	EH	NaN	NaN	1	0	0	deaf	NaN	NaN	1	1	0.4018	B	NA	NA
13	D	SH	IH	IH	low_f0	high_f0	IH	NaN	NaN	1	0	0	dish	NaN	NaN	1	1	0.9394	B	NA	NA
14	D	F	EH	EH	low_f0	high_f0	EH	NaN	NaN	1	0	0	deaf	NaN	NaN	1	1	0.6641	B	NA	NA
15	D	JH	IH	AE	low_f0	high_f0	IH	AE	NaN	1	1	0	didge	dadge	NaN	0	1	1.3461	B	NA	NA
16	G	T	AE	IH	high_f0	high_f0	IH	AE	NaN	1	1	0	git	gat	NaN	0	1	1.2915	B	NA	NA
17	G	T	IH	AE	low_f0	high_f0	IH	AE	NaN	1	1	0	git	gat	NaN	0	1	2.4034	B	NA	NA
18	L	TH	IH	AE	low_f0	high_f0	IH	AE	NaN	1	1	0	lith	lath	NaN	0	1	1.0871	B	NA	NA
19	L	P	IH	IH	low_f0	high_f0	IH	AE	NaN	1	1	0	lip	lap	NaN	0	0	3.6429	B	NA	NA
20	L	TH	IH	AE	low_f0	low_f0	IH	AE	NaN	1	1	0	lith	lath	NaN	0	1	1.6219	B	NA	NA
21	D	F	AE	AE	low_f0	high_f0	EH	AE	NaN	1	1	0	deaf	daff	NaN	0	0	3.5597	B	NA	NA
22	L	JH	AE	AE	low_f0	low_f0	AE	NaN	NaN	1	0	0	ladge	NaN	NaN	1	1	0.9073	B	NA	NA
23	D	F	AE	IH	low_f0	low_f0	IH	EH	NaN	1	1	0	diff	deaf	NaN	0	0	1.5980	B	NA	NA
24	G	TH	IH	AE	low_f0	high_f0	IH	AE	NaN	1	1	0	gith	gath	NaN	0	1	1.0290	B	NA	NA
25	G	G	IH	AE	low_f0	high_f0	IH	AE	NaN	1	1	0	gig	gag	NaN	0	1	1.9246	B	NA	NA
26	L	JH	IH	AE	low_f0	low_f0	IH	AE	NaN	1	1	0	lidge	ladge	NaN	0	1	6.8259	B	NA	NA
27	D	JH	AE	AE	low_f0	high_f0	AE	IH	NaN	1	1	0	dadge	didge	NaN	0	0	3.1254	B	NA	NA
28	L	D	IH	AE	low_f0	high_f0	IH	AE	NaN	1	1	0	lid	lad	NaN	0	1	2.9147	B	NA	NA
29	G	G	IH	AE	high_f0	high_f0	IH	AE	NaN	1	1	0	gig	gag	NaN	0	1	3.1869	B	NA	NA
30	D	JH	IH	AE	high_f0	high_f0	IH	AE	NaN	1	1	0	didge	dadge	NaN	0	1	2.1270	B	NA	NA
31	D	SH	IH	AE	low_f0	low_f0	IH	AE	NaN	1	1	0	dish	dash	NaN	0	1	1.4252	B	NA	NA
32	L	D	AE	IH	high_f0	high_f0	IH	AE	NaN	1	1	0	lid	lad	NaN	0	1	3.7998	B	NA	NA
33	G	G	AE	AE	low_f0	high_f0	AE	AE	NaN	1	0	0	gag	AE	NaN	1	1	4.8268	B	NA	NA
34	L	P	IH	IH	high_f0	high_f0	IH	NaN	NaN	1	0	0	lip	NaN	NaN	1	1	0.6930	B	NA	NA
35	L	TH	IH	IH	low_f0	high_f0	IH	IH	NaN	1	0	0	lith	IH	NaN	1	1	1.9909	B	NA	NA
36	G	TH	EH	EH	low_f0	high_f0	EH	EH	NaN	1	0	0	geth	EH	NaN	1	1	5.3508	B	NA	NA
37	G	T	IH	AE	low_f0	low_f0	IH	AE	NaN	1	0	0	git	AE	NaN	0	1	4.3358	B	NA	NA
38	G	TH	IH	IH	low_f0	high_f0	IH	IH	NaN	1	0	0	gith	IH	NaN	1	1	1.6628	B	NA	NA
39	G	T	EH	EH	low_f0	high_f0	EH	EH	NaN	1	0	0	get	EH	NaN	1	1	1.6566	B	NA	NA
40	D	F	AE	IH	high_f0	high_f0	IH	AE	NaN	1	0	0	diff	AE	NaN	0	1	2.9324	B	NA	NA
41	L	P	AE	IH	low_f0	high_f0	AE	IH	NaN	1	0	0	lap	IH	NaN	0	1	8.2063	B	NA	NA
42	L	D	EH	EH	high_f0	high_f0	EH	NaN	NaN	1	0	0	led	NaN	NaN	1	1	2.7868	B	NA	NA
43	D	JH	EH	EH	low_f0	high_f0	EH	EH	NaN	1	0	0	dedge	EH	NaN	1	1	3.8160	B	NA	NA
44	L	P	AE	AE	low_f0	high_f0	AE	AE	NaN	1	0	0	lap	AE	NaN	1	1	5.3155	B	NA	NA
45	G	T	IH	IH	high_f0	high_f0	IH	NaN	NaN	1	0	0	git	NaN	NaN	1	1	1.5915	B	NA	NA
