Ear: B
Audiogram left  : NA
Audiogram right : NA
Trial	C1	C2	Vowel1	Vowel2	F0_1	F0_2	Ans1V	Ans2V	Ans3V	Ans1C	Ans2C	Ans3C	Ans1	Ans2	Ans3	OneType	BothOK	RT	Ear	Audiogram_Left	Audiogram_Right
1	L	TH	IH	IH	high_f0	low_f0	IH	EH	NaN	1	1	0	lith	leth	NaN	0	0	3.3192	B	NA	NA
2	L	P	EH	EH	low_f0	high_f0	EH	NaN	NaN	1	0	0	lep	NaN	NaN	1	1	0.9493	B	NA	NA
3	L	TH	AE	IH	high_f0	high_f0	IH	AE	NaN	1	1	0	lith	lath	NaN	0	1	1.7958	B	NA	NA
4	G	G	IH	AE	low_f0	high_f0	IH	AE	NaN	1	1	0	gig	gag	NaN	0	1	1.4381	B	NA	NA
5	D	SH	IH	AE	low_f0	high_f0	IH	NaN	NaN	1	0	0	dish	NaN	NaN	1	0	0.8826	B	NA	NA
6	L	P	IH	AE	low_f0	low_f0	IH	NaN	NaN	1	0	0	lip	NaN	NaN	1	0	1.0909	B	NA	NA
7	L	TH	IH	AE	high_f0	low_f0	IH	NaN	NaN	1	0	0	lith	NaN	NaN	1	0	0.8571	B	NA	NA
8	L	P	AE	IH	high_f0	low_f0	AE	IH	NaN	1	1	0	lap	lip	NaN	0	1	2.4345	B	NA	NA
9	G	T	IH	AE	low_f0	high_f0	AE	IH	NaN	1	1	0	gat	git	NaN	0	1	2.2700	B	NA	NA
10	L	D	EH	EH	low_f0	high_f0	EH	NaN	NaN	1	0	0	led	NaN	NaN	1	1	1.0400	B	NA	NA
11	D	JH	IH	AE	low_f0	high_f0	AE	NaN	NaN	1	0	0	dadge	NaN	NaN	1	0	1.0633	B	NA	NA
12	L	D	AE	AE	high_f0	high_f0	AE	NaN	NaN	1	0	0	lad	NaN	NaN	1	1	0.9106	B	NA	NA
13	D	F	AE	AE	low_f0	high_f0	AE	IH	NaN	1	1	0	daff	diff	NaN	0	0	1.3773	B	NA	NA
14	D	SH	IH	IH	low_f0	low_f0	IH	NaN	NaN	1	0	0	dish	NaN	NaN	1	1	0.7429	B	NA	NA
15	D	D	EH	EH	high_f0	low_f0	EH	AE	NaN	1	1	0	dead	dad	NaN	0	0	1.0358	B	NA	NA
16	G	G	EH	EH	low_f0	high_f0	EH	NaN	NaN	1	0	0	geg	NaN	NaN	1	1	0.9342	B	NA	NA
17	G	T	IH	AE	high_f0	high_f0	AE	IH	NaN	1	1	0	gat	git	NaN	0	1	1.5458	B	NA	NA
18	D	SH	IH	AE	high_f0	low_f0	IH	NaN	NaN	1	0	0	dish	NaN	NaN	1	0	0.7845	B	NA	NA
19	D	D	IH	AE	high_f0	high_f0	AE	NaN	NaN	1	0	0	dad	NaN	NaN	1	0	1.3982	B	NA	NA
20	L	TH	AE	AE	high_f0	low_f0	EH	AE	NaN	1	1	0	leth	lath	NaN	0	0	1.4375	B	NA	NA
21	L	JH	AE	IH	high_f0	high_f0	IH	AE	NaN	1	1	0	lidge	ladge	NaN	0	1	1.4975	B	NA	NA
22	G	T	AE	IH	low_f0	high_f0	IH	AE	NaN	1	1	0	git	gat	NaN	0	1	1.4374	B	NA	NA
23	L	JH	IH	AE	low_f0	high_f0	IH	AE	NaN	1	1	0	lidge	ladge	NaN	0	1	1.1752	B	NA	NA
