Sound system: Babyface + MixCubeAudiogram left input: NA
Audiogram right input: NA
vowIDL vowF0L vowIDR vowF0R answer1 answer2 ncorrect nrep time_elapsed
  7	   2	   5	   2	   7	   0	 1	 1	 3.9058
  4	   2	   5	   2	   4	   0	 1	 1	 2.5931
  4	   1	   1	   2	   2	   4	 1	 2	 18.3755
  4	   2	   1	   1	   2	   4	 1	 2	 9.8593
  4	   1	   7	   1	   4	   0	 1	 0	 1.8277
  7	   1	   1	   2	   2	   7	 1	 2	 11.6719
  5	   1	   1	   1	   4	   0	 0	 1	 4.2029
  1	   1	   4	   2	   2	   4	 1	 2	 14.8440
  4	   2	   5	   1	   4	   5	 2	 1	 6.3749
  7	   2	   5	   2	   7	   0	 1	 0	 2.1089
  7	   1	   1	   1	   4	   0	 0	 1	 2.4369
  1	   1	   4	   1	   4	   0	 1	 0	 1.6560
  1	   2	   5	   2	   4	   0	 0	 0	 2.2965
  5	   1	   1	   2	   4	   5	 1	 2	 19.5943
  7	   2	   5	   2	   7	   0	 1	 0	 1.7651
  5	   1	   1	   2	   2	   5	 1	 1	 12.2189
  5	   2	   7	   1	   7	   0	 1	 0	 3.1245
  4	   2	   1	   2	   4	   0	 1	 0	 3.9845
  7	   1	   4	   1	   4	   0	 1	 0	 4.8904
  1	   1	   4	   2	   2	   4	 1	 2	 11.7816
  4	   1	   7	   2	   4	   7	 2	 2	 16.7503
  7	   2	   4	   2	   4	   0	 1	 0	 1.6402
  5	   1	   4	   1	   4	   0	 1	 1	 3.2969
  5	   2	   4	   2	   4	   0	 1	 0	 1.6715
  4	   1	   1	   1	   4	   0	 1	 0	 1.3121
  4	   1	   7	   1	   4	   0	 1	 0	 1.9841
  5	   1	   4	   2	   4	   6	 1	 1	 6.0623
  5	   2	   4	   1	   4	   5	 2	 1	 5.3901
  4	   2	   5	   1	   4	   5	 2	 1	 3.9996
  5	   2	   7	   1	   5	   7	 2	 1	 5.9842
  1	   2	   5	   2	   4	   0	 0	 0	 2.0622
  4	   1	   7	   2	   4	   5	 1	 1	 6.3592
  1	   1	   7	   2	   2	   5	 0	 2	 18.5162
  5	   1	   1	   1	   4	   0	 0	 0	 1.4840
  4	   2	   5	   1	   4	   5	 2	 2	 11.8752
  5	   2	   7	   2	   7	   0	 1	 1	 9.6407
  4	   1	   1	   1	   4	   0	 1	 0	 1.4206
  5	   2	   7	   2	   7	   0	 1	 0	 2.0621
  7	   2	   5	   1	   5	   7	 2	 1	 2.8905
  5	   1	   1	   2	   1	   2	 1	 2	 18.1098
  7	   2	   5	   1	   6	   7	 1	 2	 11.7190
  7	   2	   5	   1	   6	   7	 1	 1	 5.2498
  5	   2	   7	   2	   7	   0	 1	 0	 1.1872
  7	   1	   4	   2	   4	   7	 2	 1	 4.5778
  7	   2	   5	   2	   7	   0	 1	 0	 1.7027
  1	   1	   7	   1	   4	   0	 0	 0	 2.9527
  7	   1	   1	   2	   4	   7	 1	 0	 2.1247
  4	   1	   7	   2	   4	   7	 2	 1	 4.4216
  5	   1	   1	   2	   1	   2	 1	 1	 7.8285
  5	   2	   7	   2	   7	   0	 1	 0	 1.2966
  1	   2	   7	   1	   4	   7	 1	 1	 3.9217
  1	   1	   4	   2	   2	   4	 1	 2	 15.4222
  4	   1	   7	   1	   4	   0	 1	 0	 1.4997
  7	   1	   1	   1	   4	   0	 0	 0	 0.9215
  1	   1	   4	   1	   4	   0	 1	 0	 1.0777
  1	   2	   5	   1	   1	   4	 1	 1	 4.6085
  4	   2	   1	   1	   2	   4	 1	 2	 11.7344
  7	   1	   1	   1	   4	   0	 0	 0	 1.5149
  1	   2	   7	   1	   2	   7	 1	 2	 12.1251
  7	   2	   4	   1	   4	   7	 2	 1	 5.0155
  5	   1	   4	   2	   1	   4	 1	 1	 7.6249
  7	   1	   4	   1	   4	   0	 1	 0	 2.5938
  1	   2	   5	   2	   2	   0	 0	 1	 4.6405
  1	   2	   7	   2	   2	   4	 0	 2	 10.9843
  1	   1	   4	   1	   4	   0	 1	 0	 1.3435
  4	   2	   5	   1	   1	   4	 1	 1	 4.0778
  5	   1	   1	   1	   4	   0	 0	 1	 2.0615
  5	   2	   7	   1	   1	   7	 1	 2	 6.0937
  5	   1	   4	   1	   4	   0	 1	 0	 1.4370
  1	   1	   4	   2	   1	   4	 2	 2	 10.3593
  1	   2	   5	   1	   1	   4	 1	 1	 10.7811
  7	   1	   1	   2	   1	   7	 2	 2	 10.4533
  7	   1	   1	   2	   2	   7	 1	 1	 4.7498
  7	   2	   4	   2	   4	   0	 1	 0	 1.9059
  4	   2	   5	   2	   4	   0	 1	 0	 1.3278
  1	   1	   7	   2	   2	   7	 1	 1	 7.2342
  4	   1	   7	   1	   4	   0	 1	 0	 1.2183
  7	   1	   4	   2	   4	   7	 2	 0	 2.0780
  1	   2	   5	   1	   2	   0	 0	 1	 3.2500
  7	   1	   1	   1	   4	   0	 0	 0	 1.5154
  1	   2	   5	   2	   2	   0	 0	 0	 2.5461
  5	   2	   4	   1	   1	   4	 1	 1	 7.5773
  4	   2	   1	   2	   4	   0	 1	 0	 1.6402
  4	   2	   5	   2	   4	   0	 1	 0	 2.2499
  1	   1	   4	   1	   4	   0	 1	 0	 1.7811
  5	   1	   1	   1	   4	   0	 0	 0	 1.1089
  5	   2	   4	   2	   4	   0	 1	 0	 3.7183
  1	   1	   7	   1	   4	   0	 0	 0	 1.5464
  4	   1	   7	   2	   4	   0	 1	 0	 4.0625
  4	   2	   5	   2	   4	   0	 1	 0	 2.0150
